crop,crop_id,month,growth_stage,soil_moisture_pct,temperature_c,humidity_pct,rainfall_24h_mm,wind_speed_kmh,solar_radiation,eto_mm_day,kc,etc_mm_day,days_since_irrigation,moisture_threshold,irrigate
olive,0,3,1,53.6,14.7,55.1,0.0,4.4,25.0,3.4,0.7,2.38,6,35,0
olive,0,9,4,55.0,28.4,39.5,0.0,8.2,11.6,7.48,0.7,5.24,5,32,0
wheat,2,9,0,44.7,28.0,32.7,0.0,9.1,11.8,8.3,0.4,3.32,0,30,0
wheat,2,11,0,22.6,10.9,65.3,0.0,5.6,15.6,1.15,0.4,0.46,6,30,1
citrus,1,5,2,46.0,27.2,55.6,0.0,2.1,25.0,9.57,0.85,8.13,11,48,1
olive,0,10,4,42.6,14.1,70.5,0.0,7.7,8.6,0.77,0.7,0.54,8,32,0
olive,0,7,3,48.2,33.8,24.7,0.0,1.9,22.4,12.0,0.75,9.0,0,37,0
wheat,2,9,0,34.7,27.7,48.8,0.0,1.8,9.8,4.47,0.4,1.79,8,30,0
citrus,1,3,1,66.4,11.0,77.2,0.0,4.0,25.0,1.19,0.75,0.89,9,42,0
wheat,2,6,4,21.1,27.0,46.5,5.6,8.7,25.0,12.0,0.5,6.0,10,25,1
olive,0,11,4,36.4,13.6,52.1,11.3,4.3,13.1,1.7,0.7,1.19,13,32,0
wheat,2,12,0,60.9,12.8,64.2,10.8,6.5,16.1,1.5,0.4,0.6,12,30,1
citrus,1,10,4,59.0,14.5,59.2,0.0,4.2,10.1,1.21,0.75,0.91,0,42,0
wheat,2,5,3,19.9,19.9,48.8,0.0,3.4,25.0,6.1,1.15,7.01,12,45,1
wheat,2,8,0,60.2,33.8,40.0,0.0,3.7,18.2,12.0,0.4,4.8,1,30,0
wheat,2,8,0,37.0,38.3,22.3,0.0,5.7,17.1,12.0,0.4,4.8,0,30,0
olive,0,8,3,38.6,26.9,40.7,0.0,6.1,14.4,7.77,0.75,5.83,11,37,0
wheat,2,10,0,48.1,24.3,41.0,0.0,5.3,12.8,5.46,0.4,2.18,12,30,0
wheat,2,5,3,29.3,20.0,47.7,0.0,1.8,25.0,6.1,1.15,7.02,7,45,1
olive,0,3,1,28.9,17.4,65.5,0.0,4.5,25.0,3.35,0.7,2.34,1,35,1
olive,0,9,4,44.5,24.5,42.3,0.0,1.4,10.8,4.27,0.7,2.99,3,32,0
citrus,1,7,3,47.6,27.7,32.1,0.0,1.5,22.6,12.0,0.85,10.2,6,46,0
wheat,2,8,0,32.9,32.3,26.9,0.0,2.9,16.2,12.0,0.4,4.8,14,30,0
wheat,2,10,0,52.0,25.4,55.3,0.0,4.0,10.6,3.64,0.4,1.46,3,30,0
wheat,2,1,1,62.1,11.4,74.7,15.3,8.0,23.2,1.36,0.7,0.95,7,35,0
wheat,2,10,0,34.8,19.8,52.8,0.0,14.1,9.8,2.63,0.4,1.05,8,30,0
olive,0,8,3,30.6,32.4,32.6,0.0,7.5,18.7,12.0,0.75,9.0,0,37,1
olive,0,2,0,48.1,12.3,73.6,0.0,4.8,25.0,1.58,0.65,1.03,13,30,0
wheat,2,11,0,67.3,8.9,62.5,0.0,5.3,12.0,0.78,0.4,0.31,14,30,0
olive,0,12,0,25.4,8.3,78.6,0.0,6.6,19.0,0.67,0.65,0.44,14,30,1
olive,0,6,2,42.4,23.9,35.8,0.0,16.2,25.0,12.0,0.75,9.0,2,40,0
wheat,2,3,2,51.8,13.5,71.9,1.8,3.8,25.0,1.87,1.15,2.15,3,42,0
citrus,1,4,1,40.6,22.3,68.8,0.0,3.2,25.0,4.57,0.75,3.43,6,42,1
olive,0,9,4,58.2,23.0,38.4,0.0,2.2,8.9,3.33,0.7,2.33,1,32,0
wheat,2,10,0,38.1,21.0,37.6,0.0,13.3,7.6,2.95,0.4,1.18,6,30,0
wheat,2,12,0,38.9,11.8,76.3,0.0,5.4,12.6,0.7,0.4,0.28,4,30,1
citrus,1,1,0,41.9,14.5,82.7,0.0,5.2,21.1,1.1,0.7,0.77,10,40,0
wheat,2,1,1,64.6,12.8,72.8,13.7,2.9,24.9,1.65,0.7,1.15,12,35,0
wheat,2,11,0,57.5,19.8,55.9,11.6,3.4,14.1,2.95,0.4,1.18,10,30,0
olive,0,7,3,56.8,28.0,38.9,0.0,5.2,24.4,12.0,0.75,9.0,0,37,0
citrus,1,11,4,59.9,13.5,55.3,1.7,9.9,10.3,1.37,0.75,1.03,2,42,0
olive,0,2,0,67.3,10.8,65.1,0.0,6.1,25.0,1.85,0.65,1.2,11,30,0
olive,0,4,1,25.7,21.3,43.7,0.0,7.5,25.0,8.15,0.7,5.7,14,35,1
citrus,1,10,4,50.1,25.6,41.3,0.0,5.1,5.5,2.6,0.75,1.95,3,42,0
citrus,1,5,2,36.4,22.7,53.2,0.0,2.1,25.0,6.97,0.85,5.93,13,48,1
olive,0,8,3,16.0,29.8,30.3,0.0,2.4,18.8,12.0,0.75,9.0,8,37,1
citrus,1,3,1,64.8,18.9,47.5,0.0,3.3,25.0,5.7,0.75,4.28,10,42,1
wheat,2,6,4,32.4,28.2,44.8,0.0,2.5,25.0,12.0,0.5,6.0,11,25,0
wheat,2,5,3,24.3,24.2,45.8,0.0,2.8,25.0,9.26,1.15,10.64,12,45,1
wheat,2,2,1,41.9,10.9,64.7,12.8,3.1,25.0,1.79,0.7,1.25,7,35,0
citrus,1,12,4,29.2,12.9,78.9,1.7,5.4,19.1,1.05,0.75,0.78,3,42,1
citrus,1,3,1,45.9,12.6,48.6,0.0,3.7,25.0,3.12,0.75,2.34,13,42,0
wheat,2,9,0,38.8,22.5,31.0,0.0,2.6,11.1,4.5,0.4,1.8,0,30,0
olive,0,11,4,40.2,16.6,57.1,1.3,7.2,15.0,2.43,0.7,1.7,2,32,0
olive,0,5,2,60.4,19.2,46.3,0.0,6.9,25.0,6.39,0.75,4.79,11,40,0
citrus,1,8,3,55.4,27.9,15.0,0.0,6.5,17.7,12.0,0.85,10.2,10,46,0
wheat,2,10,0,40.7,22.0,37.7,0.0,3.6,14.7,5.27,0.4,2.11,8,30,0
citrus,1,4,1,63.6,20.7,42.7,0.0,4.0,25.0,7.44,0.75,5.58,2,42,0
citrus,1,12,4,80.0,16.2,85.1,9.1,5.1,18.0,0.95,0.75,0.71,6,42,0
wheat,2,11,0,46.7,24.6,50.7,0.0,14.6,8.6,3.69,0.4,1.48,1,30,0
olive,0,1,0,62.2,10.8,74.5,0.0,2.1,23.2,1.16,0.65,0.75,13,30,0
wheat,2,3,2,52.0,7.8,62.7,19.3,1.3,25.0,1.32,1.15,1.52,14,42,0
olive,0,2,0,60.6,9.4,58.7,26.2,4.7,25.0,1.85,0.65,1.21,6,30,0
citrus,1,3,1,65.9,11.1,65.3,0.0,1.5,25.0,1.75,0.75,1.31,4,42,0
wheat,2,12,0,59.4,13.0,84.8,4.5,5.0,16.6,0.65,0.4,0.26,14,30,0
citrus,1,1,0,44.2,11.0,72.5,3.0,12.1,20.3,1.33,0.7,0.93,13,40,1
citrus,1,8,3,39.4,32.1,39.7,0.0,2.0,15.3,11.7,0.85,9.94,3,46,0
citrus,1,8,3,60.7,28.4,29.7,0.0,5.3,16.8,11.9,0.85,10.12,8,46,0
olive,0,9,4,57.1,27.4,41.6,0.0,9.2,9.1,5.33,0.7,3.73,6,32,0
wheat,2,7,0,54.9,30.6,48.0,0.0,1.9,22.5,12.0,0.4,4.8,13,30,0
olive,0,3,1,58.7,19.3,63.8,0.0,6.8,25.0,4.35,0.7,3.05,0,35,0
olive,0,5,2,27.9,21.9,49.3,0.0,3.1,25.0,7.13,0.75,5.35,12,40,1
wheat,2,5,3,30.1,22.1,59.3,0.0,3.0,25.0,5.86,1.15,6.74,1,45,1
citrus,1,12,4,36.1,13.1,91.0,0.0,2.9,17.2,0.5,0.75,0.38,11,42,1
olive,0,2,0,66.8,19.3,72.7,0.0,9.4,25.0,3.43,0.65,2.23,14,30,0
citrus,1,4,1,76.8,13.8,57.8,0.0,6.1,25.0,3.01,0.75,2.26,7,42,0
citrus,1,10,4,41.6,21.7,64.9,0.0,1.7,8.5,1.61,0.75,1.21,8,42,1
citrus,1,5,2,37.8,19.3,45.0,0.0,18.1,25.0,7.94,0.85,6.75,1,48,1
olive,0,8,3,61.5,30.2,32.7,0.0,7.5,17.2,12.0,0.75,9.0,8,37,0
olive,0,3,1,39.5,11.5,62.8,0.0,3.3,25.0,2.01,0.7,1.41,4,35,0
olive,0,10,4,47.4,19.1,56.1,0.0,7.3,12.5,2.62,0.7,1.83,6,32,0
wheat,2,4,3,51.2,20.7,67.8,0.0,6.6,25.0,4.36,1.15,5.01,2,45,0
wheat,2,11,0,31.4,11.3,73.2,6.3,11.9,11.6,0.76,0.4,0.31,0,30,0
olive,0,3,1,52.9,10.9,62.4,0.0,7.4,25.0,2.06,0.7,1.44,2,35,0
olive,0,6,2,28.5,24.4,43.2,0.0,3.7,25.0,10.04,0.75,7.53,11,40,1
citrus,1,4,1,54.2,21.3,62.7,0.0,3.6,25.0,5.03,0.75,3.77,4,42,0
olive,0,2,0,45.5,6.4,72.0,7.6,11.4,24.5,1.0,0.65,0.65,5,30,0
citrus,1,6,3,59.4,25.3,38.3,0.0,5.0,25.0,12.0,0.85,10.2,12,46,0
citrus,1,10,4,45.2,22.4,59.0,2.2,5.8,10.2,2.6,0.75,1.95,0,42,0
citrus,1,4,1,73.2,16.4,48.8,0.0,8.1,25.0,4.82,0.75,3.62,2,42,0
olive,0,8,3,43.2,32.6,15.8,0.0,5.5,15.4,12.0,0.75,9.0,3,37,0
citrus,1,12,4,60.5,13.6,80.1,0.0,4.4,16.6,0.9,0.75,0.68,6,42,0
wheat,2,1,1,48.7,6.7,79.1,0.0,5.5,20.5,0.58,0.7,0.41,3,35,0
wheat,2,12,0,47.7,13.7,72.6,2.6,8.1,17.3,1.39,0.4,0.56,7,30,0
citrus,1,1,0,72.6,10.1,79.5,0.0,7.2,20.9,0.86,0.7,0.6,13,40,0
wheat,2,11,0,30.9,19.2,70.4,0.0,3.7,11.7,1.56,0.4,0.62,11,30,0
citrus,1,3,1,65.7,12.3,65.5,0.0,5.6,25.0,2.11,0.75,1.59,12,42,0
citrus,1,2,0,43.3,8.8,67.4,0.0,2.5,24.0,1.27,0.7,0.89,1,40,0
wheat,2,1,1,57.8,14.1,81.2,0.0,6.9,21.5,1.2,0.7,0.84,5,35,0
citrus,1,11,4,48.8,10.5,73.1,0.0,4.8,9.1,0.5,0.75,0.38,9,42,0
wheat,2,10,0,49.6,19.0,43.9,0.0,4.1,11.5,2.86,0.4,1.15,6,30,0
wheat,2,11,0,29.6,11.8,62.6,0.0,2.3,10.5,0.86,0.4,0.34,6,30,0
citrus,1,11,4,67.0,15.5,61.8,0.0,5.9,10.1,1.28,0.75,0.96,6,42,0
wheat,2,12,0,58.4,12.1,75.8,0.0,2.5,15.7,0.86,0.4,0.34,5,30,0
olive,0,4,1,36.8,21.0,60.8,5.3,2.8,25.0,5.1,0.7,3.57,8,35,0
olive,0,11,4,57.3,10.1,46.6,0.0,2.3,15.6,1.54,0.7,1.08,14,32,0
wheat,2,6,4,36.1,23.9,41.7,0.0,3.0,25.0,9.71,0.5,4.86,5,25,0
citrus,1,1,0,43.0,8.2,69.2,0.0,2.6,20.8,0.97,0.7,0.68,11,40,0
olive,0,10,4,28.5,22.2,67.6,0.0,3.7,11.3,2.15,0.7,1.51,10,32,1
olive,0,9,4,33.4,27.3,43.9,0.0,8.7,14.8,8.13,0.7,5.69,6,32,0
olive,0,1,0,59.0,9.5,80.9,0.0,6.0,22.6,0.8,0.65,0.52,13,30,0
citrus,1,4,1,65.1,21.2,64.5,0.0,17.3,25.0,6.0,0.75,4.5,5,42,0
citrus,1,10,4,56.9,14.9,54.5,0.0,6.7,10.5,1.53,0.75,1.14,12,42,0
citrus,1,8,3,39.1,32.6,29.9,0.0,4.3,11.4,10.95,0.85,9.3,0,46,1
olive,0,5,2,46.2,26.1,53.5,0.0,3.5,25.0,9.4,0.75,7.05,13,40,0
olive,0,4,1,49.9,15.3,59.3,0.0,3.4,25.0,3.19,0.7,2.23,2,35,0
citrus,1,8,3,47.1,23.7,37.4,0.0,10.2,18.1,8.5,0.85,7.23,7,46,0
citrus,1,10,4,42.9,18.9,58.8,0.0,3.9,9.9,1.79,0.75,1.34,11,42,0
wheat,2,7,0,38.1,33.5,29.2,0.0,3.2,25.0,12.0,0.4,4.8,8,30,0
olive,0,4,1,22.7,24.4,54.5,0.0,14.9,25.0,9.68,0.7,6.77,7,35,1
citrus,1,10,4,63.0,17.4,59.9,0.0,16.6,9.6,1.84,0.75,1.38,2,42,0
wheat,2,2,1,42.8,12.5,61.6,0.0,4.1,25.0,2.33,0.7,1.63,0,35,0
olive,0,2,0,63.1,14.6,73.3,8.5,2.1,25.0,1.92,0.65,1.25,11,30,0
wheat,2,12,0,38.5,13.7,72.2,0.0,2.9,20.0,1.49,0.4,0.59,9,30,0
olive,0,1,0,76.3,11.5,88.5,0.0,7.7,22.2,0.6,0.65,0.39,5,30,0
citrus,1,9,3,55.0,30.9,37.0,0.0,5.3,13.8,10.65,0.85,9.05,11,46,0
wheat,2,10,0,43.4,17.6,61.4,0.0,3.0,11.0,1.64,0.4,0.66,5,30,0
olive,0,3,1,53.5,12.9,65.6,0.0,4.7,25.0,2.19,0.7,1.53,0,35,0
olive,0,12,0,51.7,9.5,69.6,0.0,3.4,19.1,1.02,0.65,0.67,9,30,0
wheat,2,3,2,41.1,18.7,60.1,8.6,3.6,25.0,4.29,1.15,4.94,6,42,0
citrus,1,6,3,32.7,21.0,39.1,0.0,3.9,25.0,8.05,0.85,6.84,0,46,1
olive,0,9,4,43.7,21.1,30.9,0.0,4.4,11.4,4.26,0.7,2.98,0,32,0
wheat,2,8,0,47.0,25.0,34.7,0.0,6.6,19.3,9.87,0.4,3.95,7,30,0
olive,0,2,0,39.9,12.7,73.5,0.0,11.9,25.0,1.88,0.65,1.22,14,30,1
citrus,1,1,0,56.0,10.8,85.0,0.0,4.4,19.1,0.59,0.7,0.41,8,40,0
olive,0,4,1,65.0,15.8,64.8,0.0,12.9,25.0,3.4,0.7,2.38,7,35,0
olive,0,6,2,76.0,31.9,48.0,15.8,2.8,25.0,12.0,0.75,9.0,7,40,0
wheat,2,2,1,32.9,14.8,65.3,12.7,1.6,25.0,2.51,0.7,1.76,4,35,0
olive,0,5,2,48.7,19.2,36.8,0.0,4.4,25.0,7.22,0.75,5.41,9,40,0
wheat,2,3,2,32.3,15.7,67.3,0.0,3.7,25.0,2.69,1.15,3.09,9,42,1
olive,0,1,0,57.5,8.4,66.4,2.2,1.6,23.0,1.17,0.65,0.76,7,30,0
olive,0,8,3,42.6,31.6,34.3,0.0,4.2,15.9,12.0,0.75,9.0,2,37,0
olive,0,10,4,22.6,14.6,50.0,0.0,5.0,10.9,1.64,0.7,1.15,13,32,1
olive,0,10,4,63.9,19.8,57.0,0.0,3.5,10.5,2.15,0.7,1.5,14,32,0
wheat,2,12,0,49.4,7.2,73.3,0.0,4.6,15.4,0.58,0.4,0.23,9,30,0
citrus,1,5,2,68.4,21.8,35.7,0.0,3.4,25.0,9.02,0.85,7.66,11,48,0
olive,0,12,0,47.8,13.5,65.8,0.0,6.2,14.8,1.4,0.65,0.91,13,30,0
wheat,2,10,0,40.9,21.7,54.9,0.0,5.9,12.2,3.2,0.4,1.28,5,30,0
citrus,1,2,0,57.3,11.9,50.9,0.0,1.4,25.0,2.67,0.7,1.87,6,40,0
olive,0,9,4,30.1,33.5,42.1,0.0,10.4,10.2,9.68,0.7,6.77,7,32,1
citrus,1,10,4,46.0,15.2,54.4,0.0,1.7,11.4,1.56,0.75,1.17,1,42,0
citrus,1,9,3,61.8,24.1,56.7,0.0,3.8,9.9,2.96,0.85,2.52,11,46,0
olive,0,2,0,80.0,12.4,55.0,43.6,2.1,25.0,2.61,0.65,1.7,13,30,0
wheat,2,10,0,44.9,23.6,68.7,0.0,1.6,8.7,1.73,0.4,0.69,5,30,0
olive,0,6,2,27.3,30.7,48.9,0.0,4.4,25.0,12.0,0.75,9.0,2,40,1
olive,0,4,1,31.6,22.8,49.1,12.7,6.7,25.0,8.32,0.7,5.82,6,35,0
citrus,1,8,3,33.5,35.9,37.1,0.0,1.6,15.4,12.0,0.85,10.2,5,46,1
olive,0,7,3,53.7,36.1,37.2,0.0,14.5,22.7,12.0,0.75,9.0,7,37,0
olive,0,1,0,38.7,11.6,55.1,4.5,6.1,20.1,2.07,0.65,1.35,12,30,0
citrus,1,12,4,55.7,5.4,76.6,0.0,5.9,17.5,0.5,0.75,0.38,14,42,0
wheat,2,3,2,21.7,11.3,73.9,0.0,3.3,25.0,1.38,1.15,1.59,10,42,1
olive,0,4,1,58.2,19.1,55.6,0.0,3.1,25.0,4.88,0.7,3.42,2,35,0
wheat,2,1,1,24.5,7.6,79.0,0.0,3.7,22.0,0.67,0.7,0.47,8,35,1
olive,0,9,4,30.3,23.9,49.5,0.0,7.2,9.6,3.52,0.7,2.47,0,32,1
citrus,1,10,4,43.2,18.2,60.0,0.0,2.1,8.6,1.37,0.75,1.03,8,42,0
olive,0,7,3,28.0,30.5,25.6,0.0,6.2,21.6,12.0,0.75,9.0,14,37,1
citrus,1,2,0,62.4,8.5,64.0,0.0,5.9,25.0,1.5,0.7,1.05,10,40,0
olive,0,8,3,32.0,34.1,24.8,0.0,5.7,14.4,12.0,0.75,9.0,9,37,0
olive,0,12,0,69.2,9.8,56.0,0.0,5.0,16.3,1.34,0.65,0.87,6,30,0
olive,0,11,4,68.4,14.2,67.1,0.0,3.6,11.5,1.08,0.7,0.76,4,32,0
wheat,2,1,1,67.2,13.4,67.1,0.0,2.8,20.6,1.75,0.7,1.23,14,35,0
olive,0,12,0,26.7,4.7,76.5,3.7,8.6,15.9,0.5,0.65,0.33,12,30,1
olive,0,1,0,38.9,12.2,82.0,1.7,6.7,21.4,0.96,0.65,0.62,3,30,0
citrus,1,9,3,20.6,22.1,28.2,0.0,4.6,9.7,4.14,0.85,3.52,0,46,1
wheat,2,1,1,39.4,11.7,65.3,6.8,3.2,18.1,1.38,0.7,0.97,1,35,0
wheat,2,2,1,54.2,8.5,69.9,4.3,3.1,25.0,1.19,0.7,0.83,8,35,1
wheat,2,9,0,23.8,30.4,41.8,0.0,10.0,11.9,8.84,0.4,3.53,10,30,1
citrus,1,11,4,29.0,16.4,62.3,1.8,3.6,9.7,1.26,0.75,0.95,3,42,0
olive,0,8,3,23.4,32.2,21.5,0.0,6.0,18.2,12.0,0.75,9.0,11,37,1
wheat,2,4,3,23.9,15.1,53.1,0.0,16.1,25.0,4.45,1.15,5.11,12,45,1
wheat,2,3,2,43.4,11.8,54.5,0.0,5.3,25.0,2.62,1.15,3.02,1,42,0
citrus,1,6,3,51.7,28.6,56.1,0.0,11.6,25.0,12.0,0.85,10.2,2,46,0
citrus,1,2,0,45.3,7.8,73.0,7.0,1.6,25.0,0.97,0.7,0.68,9,40,0
wheat,2,5,3,51.7,16.9,40.1,8.1,7.3,25.0,5.83,1.15,6.71,1,45,0
wheat,2,5,3,45.8,14.1,48.5,0.0,2.6,25.0,3.55,1.15,4.08,1,45,0
olive,0,8,3,10.0,27.0,37.0,0.0,5.4,18.8,10.72,0.75,8.04,11,37,1
wheat,2,10,0,46.6,15.8,51.4,6.8,3.7,14.4,2.31,0.4,0.92,0,30,0
citrus,1,8,3,56.0,27.4,20.9,0.0,1.6,15.2,10.43,0.85,8.86,12,46,0
wheat,2,11,0,33.5,17.5,64.0,4.5,10.0,8.7,1.36,0.4,0.54,4,30,0
olive,0,10,4,33.6,19.4,52.4,0.0,2.1,7.9,1.68,0.7,1.18,5,32,0
olive,0,9,4,63.2,29.4,46.7,0.0,4.1,12.6,7.16,0.7,5.01,13,32,0
olive,0,1,0,42.3,13.9,78.0,0.0,5.7,21.7,1.37,0.65,0.89,2,30,1
citrus,1,7,3,48.3,30.8,32.4,0.0,3.7,23.6,12.0,0.85,10.2,7,46,0
olive,0,10,4,46.7,12.5,54.9,0.0,4.5,10.7,1.19,0.7,0.83,10,32,0
citrus,1,8,3,57.0,34.2,57.8,0.0,3.4,12.9,8.3,0.85,7.06,0,46,0
wheat,2,7,0,34.2,33.4,19.7,0.0,2.0,20.7,12.0,0.4,4.8,13,30,0
citrus,1,9,3,63.7,24.6,34.2,0.0,3.7,10.7,5.03,0.85,4.28,12,46,0
wheat,2,12,0,53.9,9.6,66.9,0.0,3.1,16.4,0.96,0.4,0.38,5,30,0
wheat,2,8,0,31.8,34.6,46.8,0.0,4.1,12.2,10.35,0.4,4.14,13,30,0
olive,0,11,4,56.8,13.9,74.2,8.7,4.0,8.9,0.63,0.7,0.44,12,32,0
olive,0,9,4,56.0,15.8,35.6,0.0,2.2,10.2,2.1,0.7,1.47,1,32,0
olive,0,11,4,43.8,2.4,71.1,3.2,4.1,9.6,0.5,0.7,0.35,3,32,0
olive,0,10,4,40.1,20.4,40.9,0.0,10.0,11.1,3.68,0.7,2.58,1,32,0
citrus,1,6,3,40.9,24.7,30.8,0.0,5.4,25.0,12.0,0.85,10.2,2,46,0
olive,0,8,3,62.5,32.7,43.9,0.0,5.1,15.4,12.0,0.75,9.0,10,37,0
olive,0,4,1,21.7,13.1,70.1,0.0,10.8,25.0,2.16,0.7,1.51,14,35,1
wheat,2,9,0,69.7,25.9,43.0,7.5,3.5,11.7,5.34,0.4,2.14,2,30,0
citrus,1,8,3,52.3,32.0,39.3,0.0,3.2,14.1,11.07,0.85,9.41,0,46,0
wheat,2,7,0,15.3,31.8,38.8,0.0,4.2,23.7,12.0,0.4,4.8,11,30,1
olive,0,9,4,28.0,26.6,33.1,0.0,4.7,11.6,6.7,0.7,4.69,5,32,1
citrus,1,11,4,56.1,13.2,56.5,0.0,3.6,12.6,1.41,0.75,1.06,4,42,0
olive,0,8,3,27.6,34.7,49.0,0.0,9.1,15.0,12.0,0.75,9.0,11,37,1
olive,0,5,2,12.9,27.0,62.7,0.0,2.9,25.0,8.01,0.75,6.01,10,40,1
olive,0,5,2,34.5,24.9,48.1,0.0,2.1,25.0,9.25,0.75,6.94,7,40,1
olive,0,6,2,12.9,27.2,32.7,0.0,4.7,25.0,12.0,0.75,9.0,14,40,1
citrus,1,6,3,44.4,25.2,37.1,0.0,1.5,25.0,11.36,0.85,9.66,8,46,1
olive,0,5,2,63.1,15.9,34.2,0.0,1.9,25.0,5.28,0.75,3.96,4,40,0
wheat,2,1,1,42.8,19.5,58.3,0.0,7.6,17.1,3.55,0.7,2.49,9,35,0
citrus,1,10,4,39.4,21.0,56.0,0.0,11.0,7.7,2.03,0.75,1.52,7,42,1
wheat,2,2,1,20.4,9.4,85.7,10.8,2.6,25.0,0.62,0.7,0.43,13,35,0
olive,0,11,4,58.7,16.9,73.8,0.0,2.3,14.3,1.34,0.7,0.94,0,32,0
citrus,1,6,3,67.5,28.7,24.4,0.0,10.3,25.0,12.0,0.85,10.2,1,46,0
wheat,2,12,0,15.1,7.3,63.6,0.0,2.0,16.8,0.84,0.4,0.33,12,30,1
citrus,1,1,0,58.2,12.6,74.7,9.6,4.6,22.9,1.43,0.7,1.0,12,40,0
wheat,2,9,0,28.3,22.3,57.4,0.0,5.0,13.8,3.59,0.4,1.43,9,30,1
wheat,2,11,0,41.5,20.2,68.9,0.0,5.4,13.0,2.06,0.4,0.82,12,30,0
citrus,1,2,0,74.2,12.0,72.4,0.0,5.1,25.0,1.62,0.7,1.14,1,40,0
citrus,1,6,3,31.3,28.0,35.8,0.0,1.3,25.0,12.0,0.85,10.2,4,46,1
citrus,1,10,4,61.8,16.8,45.0,6.2,11.4,10.4,2.38,0.75,1.79,13,42,0
citrus,1,3,1,61.3,21.8,71.1,0.0,4.2,25.0,4.14,0.75,3.11,4,42,0
citrus,1,12,4,46.4,10.2,60.1,0.0,1.5,23.2,1.69,0.75,1.27,11,42,0
citrus,1,12,4,80.0,7.7,75.7,0.0,3.2,17.7,0.63,0.75,0.47,0,42,0
olive,0,7,3,18.4,36.3,29.2,0.0,2.4,22.2,12.0,0.75,9.0,11,37,1
wheat,2,8,0,45.7,30.3,47.1,0.0,4.7,16.6,10.18,0.4,4.07,1,30,0
wheat,2,5,3,53.0,26.4,39.2,0.0,3.0,25.0,12.0,1.15,13.8,0,45,0
citrus,1,2,0,63.5,16.0,70.7,1.7,3.5,25.0,2.46,0.7,1.72,8,40,0
wheat,2,2,1,41.8,8.7,69.7,5.9,2.7,25.0,1.22,0.7,0.85,8,35,0
citrus,1,2,0,50.9,8.6,62.0,4.2,6.4,25.0,1.61,0.7,1.12,9,40,0
wheat,2,11,0,39.2,10.2,51.1,0.0,4.3,11.9,1.12,0.4,0.45,13,30,0
olive,0,6,2,57.4,24.2,27.7,0.0,2.3,25.0,12.0,0.75,9.0,8,40,0
olive,0,3,1,37.5,16.0,59.7,0.0,10.2,25.0,3.79,0.7,2.65,12,35,0
wheat,2,6,4,41.0,27.8,38.4,0.0,5.0,25.0,12.0,0.5,6.0,6,25,0
citrus,1,8,3,80.0,31.8,42.6,0.0,3.6,18.5,12.0,0.85,10.2,1,46,1
olive,0,7,3,50.9,27.0,35.9,0.0,7.7,21.0,12.0,0.75,9.0,5,37,0
wheat,2,11,0,45.8,16.5,62.7,0.0,12.3,10.5,1.61,0.4,0.64,10,30,0
olive,0,12,0,65.0,6.1,76.9,0.0,6.4,16.4,0.5,0.65,0.33,13,30,0
olive,0,6,2,46.8,23.0,45.0,0.0,4.9,25.0,8.83,0.75,6.62,6,40,1
olive,0,12,0,80.0,9.4,92.8,0.0,2.5,12.9,0.5,0.65,0.33,6,30,0
wheat,2,12,0,13.6,13.5,78.5,0.0,1.9,17.7,0.98,0.4,0.39,10,30,1
wheat,2,3,2,42.5,14.0,77.1,11.1,3.8,25.0,1.6,1.15,1.84,11,42,0
wheat,2,8,0,45.3,33.0,27.6,0.0,4.6,16.7,12.0,0.4,4.8,8,30,0
citrus,1,7,3,49.1,38.1,33.8,0.0,6.2,24.3,12.0,0.85,10.2,9,46,0
olive,0,11,4,56.9,12.6,64.3,2.7,4.9,6.5,0.58,0.7,0.4,10,32,0
wheat,2,10,0,58.6,25.5,50.0,0.0,3.0,13.1,4.99,0.4,2.0,7,30,0
citrus,1,7,3,20.8,33.1,30.3,0.0,6.5,22.5,12.0,0.85,10.2,14,46,0
citrus,1,8,3,40.7,31.0,31.1,0.0,7.7,17.7,12.0,0.85,10.2,10,46,1
wheat,2,4,3,49.0,19.3,57.9,0.0,1.3,25.0,4.56,1.15,5.25,4,45,1
wheat,2,6,4,26.3,28.3,36.1,0.0,2.3,25.0,12.0,0.5,6.0,12,25,0
citrus,1,3,1,56.9,16.6,57.8,0.0,3.8,25.0,3.75,0.75,2.81,1,42,0
citrus,1,8,3,40.4,28.8,33.9,0.0,2.6,20.0,12.0,0.85,10.2,11,46,1
olive,0,7,3,42.8,31.4,30.2,0.0,3.1,19.1,12.0,0.75,9.0,7,37,0
wheat,2,5,3,26.6,18.4,54.3,0.0,9.7,25.0,5.33,1.15,6.13,1,45,1
olive,0,11,4,48.3,20.9,88.2,1.9,6.8,12.8,0.84,0.7,0.59,6,32,0
olive,0,1,0,46.3,7.2,65.7,4.4,1.6,18.7,0.86,0.65,0.56,13,30,0
citrus,1,11,4,55.9,18.8,81.2,0.0,7.8,13.3,1.16,0.75,0.87,12,42,0
olive,0,10,4,55.9,25.3,48.2,0.0,6.1,10.5,4.33,0.7,3.03,2,32,0
olive,0,10,4,35.6,16.4,54.7,0.0,3.2,9.3,1.46,0.7,1.02,6,32,0
citrus,1,6,3,34.4,31.3,40.6,0.0,2.6,24.3,12.0,0.85,10.2,11,46,1
olive,0,12,0,37.9,13.9,66.7,0.0,2.6,17.1,1.54,0.65,1.0,9,30,0
